City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
riyadh,0,SA,1642701674,40,24.6877,46.7219,54.86,19.17
ardahan,75,TR,1642701823,97,41.1087,42.7022,3.45,5.08
dafeng,94,CN,1642701823,80,23.4517,108.5881,57.92,3.02
vostok,99,RU,1642701823,100,46.4856,135.8833,-20.51,3.53
saint-francois,75,FR,1642701486,76,46.4154,3.9054,38.68,11.5
thinadhoo,96,MV,1642701824,72,0.5333,72.9333,81.84,3.67
mercedes,33,AR,1642701824,37,-34.6515,-59.4307,83.84,9.28
gerede,5,TR,1642701824,84,40.8008,32.1969,9.73,7.52
ondangwa,100,NA,1642701825,66,-17.9167,15.95,73.15,8.01
brae,98,GB,1642701503,70,60.3964,-1.353,42.71,18.34
chuy,37,UY,1642701409,71,-33.6971,-53.4616,83.75,12.71
nuevitas,10,CU,1642701778,60,21.5453,-77.2644,87.24,11.45
pitimbu,8,BR,1642701825,66,-7.4706,-34.8086,88.39,11.41
kampene,100,CD,1642701552,96,-3.6,26.6667,69.19,1.1
sao jose da coroa grande,8,BR,1642701826,66,-8.8978,-35.1478,84.27,9.44
te anau,100,NZ,1642701504,90,-45.4167,167.7167,50.76,1.43
half moon bay,0,US,1642701539,84,37.4636,-122.4286,61.61,0.0
sampit,100,ID,1642701826,98,-2.5333,112.95,73.65,2.48
broken hill,81,AU,1642701826,57,-31.95,141.4333,73.8,20.42
terenos,75,BR,1642701827,54,-20.4422,-54.8603,87.51,10.36
teguise,0,ES,1642701827,63,29.0605,-13.564,62.82,11.5
viransehir,0,TR,1642701827,50,37.2353,39.7631,28.63,8.14
chiguayante,0,CL,1642701712,39,-36.9167,-73.0167,65.12,10.33
paita,34,PE,1642701516,64,-5.0892,-81.1144,82.96,15.73
aksarka,100,RU,1642701828,88,66.5606,67.7975,14.92,19.08
dejen,14,ET,1642701828,40,10.1667,38.1333,60.91,4.47
ossora,77,RU,1642701431,90,59.2353,163.0719,1.69,7.74
kloulklubed,94,PW,1642701520,80,7.0419,134.2556,81.28,12.46
san rafael,3,AR,1642701414,30,-34.6177,-68.3301,84.74,8.12
meadow lake,49,US,1642701829,51,34.8014,-106.5436,39.7,2.35
kasungu,42,MW,1642701829,95,-13.0333,33.4833,63.95,1.77
finnsnes,100,NO,1642701829,97,69.2296,17.9811,29.01,9.31
dwarka,0,IN,1642701433,89,22.2394,68.9678,72.7,9.95
taywarah,2,AF,1642701830,84,33.35,64.4167,9.66,5.55
lorengau,100,PG,1642701476,76,-2.0226,147.2712,81.27,9.53
rocha,95,UY,1642701418,76,-34.4833,-54.3333,82.11,12.21
nhulunbuy,40,AU,1642701830,89,-12.2333,136.7667,81.21,0.0
port-cartier,78,CA,1642701191,71,50.0334,-66.8654,10.74,11.59
cananeia,13,BR,1642701830,69,-25.0147,-47.9267,84.33,10.67
belmonte,26,BR,1642701831,65,-15.8631,-38.8828,84.7,9.28
sarishabari,4,BD,1642701831,59,24.7333,89.8333,63.63,6.29
ponta delgada,75,PT,1642701777,77,37.7333,-25.6667,67.5,18.41
dhidhdhoo,37,MV,1642701831,67,6.8833,73.1,81.27,9.42
necochea,100,AR,1642701428,78,-38.5473,-58.7368,72.03,17.76
datong,0,CN,1642701832,63,40.0936,113.2914,18.54,4.59
westport,100,US,1642701476,72,41.1415,-73.3579,35.15,1.99
luena,79,AO,1642701832,81,-11.7833,19.9167,64.42,1.74
kavieng,100,PG,1642701387,79,-2.5744,150.7967,79.99,11.14
qandala,44,SO,1642701477,73,11.472,49.8728,75.94,1.05
naliya,0,IN,1642701833,91,23.2667,68.8333,70.81,9.78
nchelenge,100,ZM,1642701833,82,-9.3451,28.734,71.11,4.79
kimbe,100,PG,1642701833,96,-5.5502,150.1429,75.18,2.89
lucea,1,JM,1642701834,66,18.451,-78.1736,82.85,16.28
filotion,68,GR,1642701834,71,37.05,25.5,55.54,13.0
nanortalik,100,GL,1642701438,88,60.1432,-45.2371,29.62,18.97
klaksvik,100,FO,1642701451,87,62.2266,-6.589,43.72,23.26
najran,10,SA,1642701834,41,17.4924,44.1277,68.86,4.94
talnakh,100,RU,1642701485,95,69.4865,88.3972,8.69,10.54
tuyen quang,100,VN,1642701835,85,21.8233,105.2181,60.37,1.05
longyearbyen,20,SJ,1642701134,79,78.2186,15.6401,10.24,2.3
parakai,96,NZ,1642701835,77,-36.65,174.4333,65.64,7.94
fortuna,0,US,1642701473,95,40.5982,-124.1573,51.33,1.01
vila velha,20,BR,1642701465,71,-20.3297,-40.2925,87.75,5.99
caconda,77,AO,1642701530,56,-13.7333,15.0667,61.86,4.05
otradnoye,100,RU,1642701836,94,59.7775,30.8181,35.04,7.54
husavik,100,IS,1642701430,86,66.0449,-17.3389,46.31,16.44
semirom,14,IR,1642701543,84,31.4167,51.5667,19.31,11.36
batagay,23,RU,1642701836,92,67.6333,134.6333,-34.56,2.95
chunskiy,100,RU,1642701837,100,56.0815,99.6342,-4.52,0.85
san andres,14,CO,1642701837,75,12.5847,-81.7006,80.83,19.8
zachepylivka,90,UA,1642701837,85,49.1939,35.2394,24.76,13.8
grand gaube,51,MU,1642701635,88,-20.0064,57.6608,81.37,5.01
marienburg,100,PL,1642701585,62,54.0359,19.0266,33.12,18.34
shimoda,87,JP,1642701838,82,34.6667,138.95,34.11,6.02
yuncheng,99,CN,1642701838,70,35.0231,110.9928,29.93,7.4
lucapa,72,AO,1642701838,93,-8.4192,20.7447,66.97,0.96
bambous virieux,40,MU,1642701463,89,-20.3428,57.7575,81.21,4.61
pamekasan,100,ID,1642701839,93,-7.1568,113.4746,74.93,5.7
leningradskiy,18,RU,1642701442,93,69.3833,178.4167,-35.21,2.01
sinnamary,70,GF,1642701839,74,5.3833,-52.95,81.55,9.62
kokopo,100,PG,1642701839,87,-4.352,152.2633,75.94,4.14
lakes entrance,5,AU,1642701840,90,-37.8811,147.981,54.57,5.82
esmeraldas,23,BR,1642701840,64,-19.7625,-44.3139,86.86,2.17
tyazhinskiy,97,RU,1642701840,96,56.116,88.524,5.32,4.07
kashan,21,IR,1642701841,44,33.9831,51.4364,41.2,10.56
tabory,100,RU,1642701841,92,58.5198,64.5495,18.37,7.2
cidreira,18,BR,1642701536,78,-30.1811,-50.2056,81.82,11.07
san carlos de bariloche,43,AR,1642701633,44,-41.1456,-71.3082,63.5,11.05
nongstoin,20,IN,1642701842,90,25.5167,91.2667,43.99,2.91
esna,0,EG,1642701842,30,25.2934,32.554,52.83,8.84
portland,75,US,1642701161,93,45.5234,-122.6762,55.56,1.99
severnyy-kospashskiy,100,RU,1642701842,94,59.0925,57.8008,14.25,9.73
calbuco,98,CL,1642701842,83,-41.768,-73.1273,57.99,2.68
malibu,0,US,1642701843,43,34.005,-118.8101,74.52,2.53
samarai,91,PG,1642701424,81,-10.6167,150.6667,80.24,10.8
sioux lookout,37,CA,1642701843,88,50.1001,-91.917,-4.63,6.15
petropavlovka,81,RU,1642701844,96,50.6114,105.3196,-1.48,2.42
lavrentiya,30,RU,1642701844,93,65.5833,-171.0,-20.81,10.11
mnogovershinnyy,28,RU,1642701535,87,53.9353,139.9242,-9.22,4.65
lompoc,20,US,1642701278,73,34.6391,-120.4579,71.13,10.36
palana,4,RU,1642701844,90,59.1167,159.9667,-1.75,7.05
aksu,0,CN,1642701845,45,41.1231,80.2644,26.58,3.18
kalmunai,65,LK,1642701845,69,7.4167,81.8167,73.54,6.06
kawalu,100,ID,1642701845,94,-7.3817,108.2082,71.13,1.16
baculin,99,PH,1642701846,81,7.4525,126.5842,77.0,5.61
cockburn town,40,TC,1642701536,61,21.4612,-71.1419,82.36,17.27
paracatu,1,BR,1642701806,49,-17.2222,-46.8747,84.92,3.89
mitsamiouli,75,KM,1642701469,78,-11.3847,43.2844,82.69,6.91
esperance,0,AU,1642701420,87,-33.8667,121.9,58.84,11.05
anloga,40,GH,1642701846,54,5.7947,0.8973,82.72,11.39
timaru,99,NZ,1642701847,96,-44.4,171.25,56.07,4.03
yingcheng,100,CN,1642701847,76,30.95,113.55,42.98,11.21
bitung,100,ID,1642701847,86,1.4451,125.1824,76.05,7.92
namibe,92,AO,1642701401,75,-15.1961,12.1522,72.5,8.84
san cristobal,92,VE,1642701494,46,7.7669,-72.225,77.18,6.33
alcantara,51,BR,1642701848,67,-2.4089,-44.4147,89.8,10.2
mabaruma,94,GY,1642701848,94,8.2,-59.7833,77.41,5.26
isangel,45,VU,1642701411,90,-19.55,169.2667,78.85,7.65
abaza,99,RU,1642701849,98,52.655,90.0928,11.55,1.99
lethem,99,GY,1642701849,57,3.3803,-59.7968,87.37,9.19
pangnirtung,20,CA,1642701459,76,66.1451,-65.7125,-20.2,2.3
ramsey,0,US,1642701849,63,45.0333,-93.0835,1.04,3.0
isabela,100,PH,1642701850,87,6.7085,121.9711,77.25,1.7
vrbove,40,SK,1642701850,62,48.6197,17.7226,33.76,10.36
don sak,4,TH,1642701850,82,9.3168,99.6918,76.71,11.45
codrington,2,AU,1642701396,76,-38.2667,141.9667,58.19,7.52
